id;jenjang_pendidikan;minat_bakat;jalur_pendaftaran;rata_nilai;rencana_karir;prodi_rekomendasi_id
596;D4;Multimedia, Teknik Instalasi Tenaga Listrik (TITL), Pemrograman;Jalur Prestasi;99.0;Cloud Engineer;10
597;D3;Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;695.0;Control Systems Engineer;3
598;D4;Teknik Tenaga Listrik (TTL), Matematika;Jalur Prestasi;93.0;Embedded Systems Engineer;1
599;D3;Kimia, Statistika;Jalur Prestasi;83.0;Electronics Technician;1
600;D4;Desain Animasi, Kimia, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;87.7;Game Developer;9
601;D4;Desain Animasi, Matematika;Jalur Prestasi;81.9;Automation Engineer;5
602;D4;Teknologi Komputer Jaringan (TKJ), Fisika, Teknik Tenaga Listrik (TTL);Jalur Prestasi;81.4;Full Stack Developer;4
603;D4;Matematika, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;691.0;Electrical Engineer;1
604;D3;Statistika, Desain Animasi;Jalur Test Tulis;814.1;Telecommunications Specialist;2
605;D4;Matematika, Teknik Instalasi Tenaga Listrik (TITL), Multimedia, Desain Animasi;Jalur Prestasi;83.3;Machine Learning Engineer;12
606;D3;Matematika, Fisika;Jalur Prestasi;87.8;Industrial Electrician;3
607;D4;Teknik Instalasi Tenaga Listrik (TITL), Teknik Tenaga Listrik (TTL), Fisika, Multimedia;Jalur Prestasi;82.2;IT Support Specialist;6
608;D4;Desain Animasi, Kimia;Jalur Prestasi;89.5;Power Plant Operator;8
609;D4;Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;81.2;Full Stack Developer;4
610;D3;Kimia;Jalur Test Tulis;784.0;Multimedia Designer;7
611;D4;Matematika, Kimia, Fisika, Elektronika;SIMANDIRI;835.0;System Administrator;6
612;D3;Fisika, Teknologi Komputer Jaringan (TKJ), Teknik Instalasi Tenaga Listrik (TITL), Desain Animasi;SIMANDIRI;951.7;Full Stack Developer;4
613;D4;Matematika;Jalur Test Tulis;798.1;Renewable Energy Engineer;8
614;D4;Teknik Instalasi Tenaga Listrik (TITL), Statistika, Desain Animasi;Jalur Prestasi;93.0;Renewable Energy Engineer;8
615;D4;Kimia;Jalur Prestasi;93.4;Embedded Systems Engineer;1
616;D4;Desain Grafis, Elektronika;Jalur Test Tulis;922.9;Cloud Engineer;10
617;D4;Pemrograman, Teknik Tenaga Listrik (TTL);Jalur Prestasi;85.2;Power Plant Operator;8
618;D3;Pemrograman, Teknologi Komputer Jaringan (TKJ), Desain Animasi, Statistika;Jalur Test Tulis;977.4;Control Systems Engineer;3
619;D4;Matematika;Jalur Test Tulis;672.8;Computer Engineer;6
620;D4;Teknik Instalasi Tenaga Listrik (TITL), Statistika, Elektronika;Jalur Tes Tulis;651.0;Motion Graphics Artist;11
621;D4;Fisika, Teknik Instalasi Tenaga Listrik (TITL), Matematika;Jalur Prestasi;86.3;Computer Engineer;6
622;D4;Teknologi Komputer Jaringan (TKJ), Pemrograman, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;791.0;3D Modeler;9
623;D4;Pemrograman, Multimedia, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;837.8;Motion Graphics Artist;11
624;D4;Fisika;Jalur Tes Tulis;992.0;Motion Graphics Artist;11
625;D4;Desain Animasi, Statistika, Fisika;SIMANDIRI;727.7;Digital Content Creator;11
626;D4;Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;90.7;Software Engineer;4
627;D4;Teknik Tenaga Listrik (TTL), Fisika, Statistika;SIMANDIRI;687.0;Electrical Engineer;1
628;D4;Pemrograman, Desain Grafis;Jalur Prestasi;94.6;Industrial Electrician;3
629;D3;Desain Animasi, Teknologi Komputer Jaringan (TKJ), Fisika;Jalur Prestasi;98.0;RF Engineer;2
630;D4;Statistika, Desain Animasi;Jalur Prestasi;80.1;IT Support Specialist;6
631;D3;Statistika;Jalur Prestasi;81.2;Electronics Technician;1
632;D4;Teknik Tenaga Listrik (TTL);Jalur Test Tulis;864.7;Full Stack Developer;4
633;D4;Pemrograman, Statistika, Teknik Instalasi Tenaga Listrik (TITL);SIMANDIRI;915.3;Motion Graphics Artist;11
634;D4;Desain Animasi;Jalur Test Tulis;681.0;DevOps Engineer;10
635;D4;Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL), Matematika, Pemrograman;Jalur Tes Tulis;867.0;Game Designer;9
636;D4;Elektronika, Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Fisika;Jalur Prestasi;82.1;System Administrator;6
637;D4;Kimia;Jalur Prestasi;93.0;Game Developer;9
638;D4;Teknik Instalasi Tenaga Listrik (TITL), Fisika;Jalur Prestasi;84.0;Telecommunications Specialist;2
639;D3;Desain Grafis, Statistika, Matematika;Jalur Tes Tulis;951.0;Embedded Systems Engineer;1
640;D3;Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Prestasi;89.6;Network Engineer;2
641;D4;Desain Animasi, Statistika, Pemrograman;SIMANDIRI;722.2;Cloud Engineer;10
642;D4;Multimedia, Pemrograman;Jalur Test Tulis;744.0;Business Intelligence Analyst;12
643;D4;Pemrograman;Jalur Tes Tulis;688.0;RF Engineer;2
644;D4;Statistika;Jalur Test Tulis;730.0;Digital Content Creator;11
645;D4;Teknik Tenaga Listrik (TTL), Desain Animasi, Desain Grafis, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;994.0;Cloud Engineer;10
646;D4;Kimia, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;96.4;Telecommunications Specialist;2
647;D4;Desain Grafis, Pemrograman;Jalur Tes Tulis;725.0;Digital Content Creator;11
648;D4;Multimedia;Jalur Tes Tulis;723.0;Cybersecurity Analyst;4
649;D4;Desain Animasi, Pemrograman;Jalur Prestasi;85.3;Mechatronics Specialist;5
650;D3;Fisika;Jalur Prestasi;85.2;Software Engineer;4
651;D4;Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL), Pemrograman, Kimia;Jalur Test Tulis;694.0;Full Stack Developer;4
652;D4;Elektronika, Fisika, Desain Grafis;Jalur Test Tulis;894.8;Control Systems Engineer;3
653;D3;Teknologi Komputer Jaringan (TKJ), Fisika;Jalur Test Tulis;662.0;Broadcast Engineer;7
654;D4;Statistika;Jalur Tes Tulis;678.0;RF Engineer;2
655;D4;Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;89.0;Renewable Energy Engineer;8
656;D4;Teknologi Komputer Jaringan (TKJ), Kimia, Desain Grafis;Jalur Test Tulis;843.9;Machine Learning Engineer;12
657;D4;Matematika, Pemrograman;Jalur Tes Tulis;925.0;Game Developer;9
658;D3;Matematika;Jalur Tes Tulis;930.0;Video Editor;7
659;D4;Pemrograman, Desain Grafis;Jalur Prestasi;89.9;Cloud Engineer;10
660;D4;Pemrograman, Desain Animasi, Fisika;Jalur Tes Tulis;852.0;RF Engineer;2
661;D3;Fisika;Jalur Prestasi;89.4;Cybersecurity Analyst;4
662;D4;Desain Animasi, Desain Grafis;Jalur Prestasi;84.9;Robotics Engineer;5
663;D3;Matematika, Elektronika, Desain Animasi, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;83.9;Full Stack Developer;4
664;D4;Teknologi Komputer Jaringan (TKJ), Teknik Instalasi Tenaga Listrik (TITL), Pemrograman, Fisika;Jalur Prestasi;82.0;Game Designer;9
665;D4;Kimia, Multimedia, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;93.3;Renewable Energy Engineer;8
666;D4;Multimedia, Pemrograman, Matematika;Jalur Prestasi;82.5;Electronics Technician;1
667;D3;Multimedia;Jalur Prestasi;85.5;Telecommunications Specialist;2
668;D4;Matematika;Jalur Prestasi;99.0;RF Engineer;2
669;D3;Matematika, Elektronika, Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;739.0;Broadcast Engineer;7
670;D3;Teknik Instalasi Tenaga Listrik (TITL), Elektronika;Jalur Prestasi;80.4;Video Editor;7
671;D4;Kimia, Elektronika;Jalur Test Tulis;763.6;Network Engineer;2
672;D3;Desain Grafis, Pemrograman, Teknik Tenaga Listrik (TTL);Jalur Prestasi;96.0;Multimedia Designer;7
673;D4;Teknik Tenaga Listrik (TTL), Desain Grafis;Jalur Test Tulis;896.1;Power Plant Operator;8
674;D4;Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;986.0;Game Designer;9
675;D4;Multimedia, Desain Grafis, Teknik Tenaga Listrik (TTL), Kimia;Jalur Prestasi;99.9;Automation Engineer;3
676;D3;Teknik Instalasi Tenaga Listrik (TITL), Fisika, Teknologi Komputer Jaringan (TKJ);SIMANDIRI;977.3;Automation Engineer;3
677;D4;Matematika, Teknologi Komputer Jaringan (TKJ), Fisika, Elektronika;Jalur Prestasi;96.8;Energy Analyst;8
678;D4;Kimia, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;860.0;Industrial Electrician;3
679;D4;Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;799.4;Energy Analyst;8
680;D4;Teknik Tenaga Listrik (TTL);SIMANDIRI;83.9;Cloud Engineer;10
681;D4;Multimedia, Elektronika;Jalur Tes Tulis;908.0;System Administrator;6
682;D4;Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;87.0;Automation Engineer;3
683;D3;Desain Animasi, Elektronika;Jalur Prestasi;81.3;Broadcast Engineer;7
684;D4;Kimia, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;674.0;Renewable Energy Engineer;8
685;D4;Teknologi Komputer Jaringan (TKJ), Statistika;Jalur Prestasi;88.1;Robotics Engineer;5
686;D3;Teknologi Komputer Jaringan (TKJ), Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;964.2;Electrical Engineer;1
687;D4;Desain Animasi, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;80.3;Digital Content Creator;11
688;D4;Kimia, Elektronika;Jalur Prestasi;85.5;Network Security Specialist;10
689;D4;Pemrograman, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;89.0;Robotics Engineer;5
690;D4;Pemrograman, Teknik Instalasi Tenaga Listrik (TITL), Teknik Tenaga Listrik (TTL);Jalur Test Tulis;818.8;Network Engineer;2
691;D4;Teknologi Komputer Jaringan (TKJ), Desain Animasi;Jalur Prestasi;88.0;Energy Analyst;8
692;D4;Multimedia, Teknik Tenaga Listrik (TTL), Statistika, Fisika;Jalur Prestasi;89.1;Data Scientist;12
693;D4;Desain Animasi, Matematika, Kimia;Jalur Test Tulis;985.7;Game Designer;9
694;D4;Desain Grafis;Jalur Test Tulis;689.1;Game Designer;9
695;D4;Statistika, Matematika, Pemrograman;Jalur Prestasi;97.5;Cloud Engineer;10
696;D4;Pemrograman, Fisika;Jalur Test Tulis;945.1;Renewable Energy Engineer;8
697;D4;Statistika, Matematika;SIMANDIRI;91.6;Game Designer;9
698;D4;Statistika, Matematika;SIMANDIRI;845.3;Power Plant Operator;8
699;D3;Fisika;Jalur Test Tulis;667.0;Full Stack Developer;4
700;D4;Pemrograman, Desain Grafis, Teknik Instalasi Tenaga Listrik (TITL);SIMANDIRI;856.8;Automation Engineer;5
701;D4;Teknik Instalasi Tenaga Listrik (TITL), Multimedia, Teknik Tenaga Listrik (TTL), Kimia;Jalur Test Tulis;959.9;Network Security Specialist;10
702;D4;Elektronika, Matematika, Pemrograman, Statistika;Jalur Prestasi;82.6;Power Plant Operator;8
703;D4;Teknik Tenaga Listrik (TTL), Kimia;Jalur Prestasi;95.0;Business Intelligence Analyst;12
704;D4;Multimedia;Jalur Test Tulis;731.4;Energy Analyst;8
705;D4;Teknik Instalasi Tenaga Listrik (TITL), Kimia, Desain Animasi;Jalur Test Tulis;771.2;Power Plant Operator;8
706;D4;Teknologi Komputer Jaringan (TKJ), Desain Animasi, Statistika;Jalur Tes Tulis;718.0;Energy Analyst;8
707;D4;Multimedia, Desain Animasi, Elektronika;Jalur Prestasi;84.3;Digital Content Creator;11
708;D4;Fisika;Jalur Test Tulis;851.2;3D Modeler;9
709;D4;Teknik Tenaga Listrik (TTL), Kimia, Teknik Instalasi Tenaga Listrik (TITL), Pemrograman;Jalur Prestasi;96.1;Mechatronics Specialist;5
710;D4;Teknologi Komputer Jaringan (TKJ), Teknik Tenaga Listrik (TTL), Desain Animasi, Desain Grafis;SIMANDIRI;693.7;Electrical Engineer;1
711;D3;Kimia;Jalur Test Tulis;850.2;RF Engineer;2
712;D4;Matematika, Pemrograman, Teknik Instalasi Tenaga Listrik (TITL);Jalur Tes Tulis;654.0;Renewable Energy Engineer;8
713;D4;Teknik Tenaga Listrik (TTL);SIMANDIRI;97.0;Game Designer;9
714;D4;Desain Grafis, Multimedia;Jalur Prestasi;95.0;DevOps Engineer;10
715;D3;Desain Grafis;Jalur Tes Tulis;708.0;Video Editor;7
716;D4;Teknologi Komputer Jaringan (TKJ), Multimedia;Jalur Prestasi;93.0;Machine Learning Engineer;12
717;D4;Kimia;SIMANDIRI;98.0;Cybersecurity Analyst;4
718;D4;Statistika, Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Test Tulis;916.2;Power Plant Operator;8
719;D4;Statistika;Jalur Prestasi;87.7;Control Systems Engineer;3
720;D4;Fisika, Kimia;Jalur Test Tulis;801.6;Game Developer;9
721;D4;Kimia;Jalur Prestasi;89.4;Renewable Energy Engineer;8
722;D4;Matematika;Jalur Tes Tulis;749.0;Power Plant Operator;8
723;D4;Fisika;Jalur Prestasi;91.5;Mechatronics Specialist;5
724;D4;Teknik Tenaga Listrik (TTL);Jalur Test Tulis;925.1;IT Support Specialist;6
725;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;98.7;Embedded Systems Engineer;1
726;D4;Desain Grafis, Kimia, Statistika;Jalur Prestasi;89.0;Game Designer;9
727;D4;Fisika, Desain Animasi, Teknik Tenaga Listrik (TTL), Desain Grafis;Jalur Prestasi;86.5;Game Developer;9
728;D4;Desain Grafis, Multimedia, Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;948.6;Machine Learning Engineer;12
729;D4;Teknik Tenaga Listrik (TTL), Fisika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;765.5;Embedded Systems Engineer;1
730;D3;Multimedia, Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ), Matematika;Jalur Prestasi;84.0;Broadcast Engineer;7
731;D4;Fisika, Desain Grafis, Teknik Tenaga Listrik (TTL), Kimia;Jalur Prestasi;84.2;Electrical Engineer;1
732;D3;Statistika, Matematika;SIMANDIRI;688.2;Electrical Engineer;1
733;D4;Statistika, Teknologi Komputer Jaringan (TKJ), Teknik Tenaga Listrik (TTL), Kimia;SIMANDIRI;944.6;System Administrator;6
734;D4;Desain Grafis, Teknologi Komputer Jaringan (TKJ), Multimedia;Jalur Prestasi;91.4;Machine Learning Engineer;12
735;D4;Teknik Instalasi Tenaga Listrik (TITL), Desain Grafis, Kimia, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;96.2;Digital Content Creator;11
736;D4;Teknologi Komputer Jaringan (TKJ), Desain Grafis, Multimedia;Jalur Prestasi;93.0;Power Plant Operator;8
737;D3;Teknik Tenaga Listrik (TTL), Pemrograman, Teknologi Komputer Jaringan (TKJ), Matematika;Jalur Prestasi;81.1;Control Systems Engineer;3
738;D4;Statistika;Jalur Prestasi;96.6;Game Developer;9
739;D3;Elektronika;Jalur Tes Tulis;710.0;Industrial Electrician;3
740;D3;Pemrograman, Teknik Instalasi Tenaga Listrik (TITL), Matematika;Jalur Test Tulis;706.0;Video Editor;7
741;D3;Statistika;Jalur Prestasi;88.3;Broadcast Engineer;7
742;D4;Multimedia, Matematika;Jalur Prestasi;85.2;System Administrator;6
743;D3;Desain Animasi, Matematika, Multimedia;Jalur Prestasi;92.6;Video Editor;7
744;D4;Teknik Tenaga Listrik (TTL), Pemrograman, Statistika, Matematika;SIMANDIRI;716.5;DevOps Engineer;10
745;D4;Elektronika, Matematika, Pemrograman, Fisika;Jalur Test Tulis;958.7;RF Engineer;2
746;D3;Fisika, Desain Animasi, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;783.6;Video Editor;7
747;D4;Multimedia, Desain Animasi, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;970.6;Data Scientist;12
748;D4;Desain Animasi, Kimia;Jalur Prestasi;83.5;Computer Engineer;6
749;D4;Desain Animasi, Multimedia, Teknik Tenaga Listrik (TTL);Jalur Prestasi;82.0;Embedded Systems Engineer;1
750;D4;Matematika, Elektronika;SIMANDIRI;700.0;Cybersecurity Analyst;4
751;D3;Elektronika;Jalur Test Tulis;935.2;Automation Engineer;3
752;D4;Teknik Tenaga Listrik (TTL), Multimedia, Pemrograman;Jalur Test Tulis;668.1;Motion Graphics Artist;11
753;D4;Desain Animasi, Fisika, Multimedia, Matematika;Jalur Prestasi;86.9;IT Support Specialist;6
754;D4;Desain Animasi, Teknologi Komputer Jaringan (TKJ), Statistika, Pemrograman;Jalur Test Tulis;934.6;3D Modeler;9
755;D4;Elektronika, Teknik Instalasi Tenaga Listrik (TITL), Pemrograman, Fisika;Jalur Prestasi;91.2;Automation Engineer;5
756;D4;Desain Grafis, Fisika, Multimedia, Pemrograman;Jalur Prestasi;97.0;Network Security Specialist;10
757;D4;Fisika, Pemrograman;Jalur Prestasi;90.5;Energy Analyst;8
758;D4;Statistika, Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Prestasi;83.0;Digital Content Creator;11
759;D4;Pemrograman, Teknik Tenaga Listrik (TTL), Desain Grafis, Matematika;Jalur Test Tulis;658.0;Telecommunications Specialist;2
760;D3;Desain Animasi, Teknik Instalasi Tenaga Listrik (TITL), Pemrograman;Jalur Prestasi;82.0;Telecommunications Specialist;2
761;D4;Matematika;Jalur Test Tulis;795.4;Motion Graphics Artist;11
762;D3;Desain Grafis;Jalur Tes Tulis;809.0;Automation Engineer;3
763;D4;Matematika, Teknologi Komputer Jaringan (TKJ), Multimedia, Pemrograman;Jalur Tes Tulis;880.0;Digital Content Creator;11
764;D4;Elektronika, Desain Animasi;Jalur Prestasi;80.1;Game Developer;9
765;D4;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Elektronika, Desain Animasi;Jalur Tes Tulis;721.0;UI/UX Designer;11
766;D4;Elektronika, Teknik Instalasi Tenaga Listrik (TITL), Kimia;Jalur Prestasi;94.0;Business Intelligence Analyst;12
767;D4;Statistika, Elektronika, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;663.0;Network Engineer;2
768;D4;Teknik Instalasi Tenaga Listrik (TITL), Kimia, Multimedia;Jalur Test Tulis;877.6;Renewable Energy Engineer;8
769;D4;Fisika;Jalur Prestasi;92.6;Game Developer;9
770;D4;Desain Grafis, Fisika, Kimia, Statistika;Jalur Prestasi;85.0;Machine Learning Engineer;12
771;D4;Multimedia;Jalur Prestasi;84.1;Cloud Engineer;10
772;D4;Kimia;SIMANDIRI;98.7;Digital Content Creator;11
773;D4;Elektronika, Matematika;Jalur Prestasi;97.8;Automation Engineer;5
774;D4;Desain Animasi, Multimedia, Elektronika;Jalur Prestasi;81.0;Network Security Specialist;10
775;D4;Kimia, Elektronika;Jalur Test Tulis;950.0;Motion Graphics Artist;11
776;D4;Teknik Tenaga Listrik (TTL);SIMANDIRI;82.9;Network Security Specialist;10
777;D4;Fisika;Jalur Test Tulis;824.2;Mechatronics Specialist;5
778;D4;Kimia, Elektronika, Matematika, Pemrograman;Jalur Test Tulis;932.8;Digital Content Creator;11
779;D4;Statistika, Multimedia;Jalur Test Tulis;874.3;Game Developer;9
780;D4;Kimia, Statistika, Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;715.0;Game Developer;9
781;D4;Fisika, Pemrograman, Teknologi Komputer Jaringan (TKJ), Desain Grafis;Jalur Tes Tulis;826.0;Energy Analyst;8
782;D4;Statistika, Desain Animasi;Jalur Test Tulis;690.0;Power Plant Operator;8
783;D4;Matematika;Jalur Tes Tulis;924.0;Electronics Technician;1
784;D4;Desain Animasi, Pemrograman, Statistika;Jalur Test Tulis;749.0;UI/UX Designer;11
785;D3;Teknologi Komputer Jaringan (TKJ), Multimedia, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;987.1;Software Engineer;4
786;D4;Fisika, Multimedia, Matematika, Desain Grafis;Jalur Prestasi;84.8;Computer Engineer;6
787;D4;Fisika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;675.5;Automation Engineer;5
788;D4;Teknologi Komputer Jaringan (TKJ), Teknik Instalasi Tenaga Listrik (TITL), Multimedia;Jalur Test Tulis;979.4;Power Plant Operator;8
789;D3;Statistika, Pemrograman, Fisika;Jalur Test Tulis;704.0;Cybersecurity Analyst;4
790;D4;Multimedia, Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Prestasi;86.6;UI/UX Designer;11
791;D4;Teknik Tenaga Listrik (TTL), Elektronika, Pemrograman;Jalur Prestasi;82.1;Robotics Engineer;5
792;D4;Statistika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;970.3;Mechatronics Specialist;5
793;D4;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ);SIMANDIRI;712.0;Renewable Energy Engineer;8
794;D4;Fisika, Desain Grafis, Matematika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;964.8;Control Systems Engineer;3
795;D3;Teknik Tenaga Listrik (TTL), Statistika;Jalur Test Tulis;708.8;Software Engineer;4
796;D3;Kimia;Jalur Prestasi;99.0;RF Engineer;2
797;D4;Multimedia, Teknik Tenaga Listrik (TTL), Statistika;Jalur Prestasi;99.3;Automation Engineer;5
